,Room,Photo,path,kind
68,Zaal_E,20190323_114539,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114539.jpg,FN
69,Zaal_E,20190323_114600,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114600.jpg,FN
70,Zaal_E,20190323_114646,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114646.jpg,TP
71,Zaal_E,20190323_114705,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114705.jpg,TP
72,Zaal_E,20190323_114757,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114757.jpg,TP
73,Zaal_E,20190323_114817,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114817.jpg,TP
74,Zaal_E,20190323_114836,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_114836.jpg,TP
75,Zaal_E,20190323_115257,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_115257.jpg,FN
76,Zaal_E,20190323_115309,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_115309.jpg,FN
77,Zaal_E,20190323_115403,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_115403.jpg,TP
78,Zaal_E,20190323_115421,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_115421.jpg,TP
79,Zaal_E,20190323_115435,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_115435.jpg,TP
80,Zaal_E,20190323_115458,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_115458.jpg,FN
81,Zaal_E,20190323_115513,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_115513.jpg,FN
82,Zaal_E,20190323_115537,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_E/20190323_115537.jpg,FN
83,Zaal_F,20190323_115716,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_115716.jpg,TP
84,Zaal_F,20190323_115732,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_115732.jpg,FN
85,Zaal_F,20190323_115750,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_115750.jpg,TP
86,Zaal_F,20190323_115808,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_F/20190323_115808.jpg,FN
